Date/Time,Consumption (kW)
 12/09  13:00:00,26.46721727
 12/09  14:00:00,26.19945454
 12/09  15:00:00,26.76908449
 12/09  16:00:00,26.75643189
 12/09  17:00:00,28.03214456
 12/09  18:00:00,32.36379775
 12/09  19:00:00,31.48418036
 12/09  20:00:00,31.52741698
 12/09  21:00:00,32.39059494
 12/09  22:00:00,33.55079792
 12/09  23:00:00,34.83135324
 12/09  24:00:00,35.20869417
 12/10  01:00:00,35.37932711
 12/10  02:00:00,36.33890148
 12/10  03:00:00,37.20821247
 12/10  04:00:00,38.85495217
 12/10  05:00:00,39.229697
 12/10  06:00:00,39.84671695
 12/10  07:00:00,39.68211279
 12/10  08:00:00,42.36737934
 12/10  09:00:00,37.84613679
 12/10  10:00:00,36.75666145
 12/10  11:00:00,38.49059868
 12/10  12:00:00,35.97271021
 12/10  13:00:00,33.46137953
 12/10  14:00:00,33.01623686
 12/10  15:00:00,32.71561304
 12/10  16:00:00,33.57800027
 12/10  17:00:00,36.40081781
 12/10  18:00:00,40.54021321
 12/10  19:00:00,40.61761572
 12/10  20:00:00,41.80761025
 12/10  21:00:00,41.96809941
 12/10  22:00:00,41.95414946
 12/10  23:00:00,41.04469895
 12/10  24:00:00,39.94928047
 12/11  01:00:00,39.51592199
 12/11  02:00:00,40.1578156
 12/11  03:00:00,39.3473813
 12/11  04:00:00,39.02568827
 12/11  05:00:00,39.1664367
 12/11  06:00:00,39.66534145
 12/11  07:00:00,40.68075912
 12/11  08:00:00,44.69277805
 12/11  09:00:00,41.53660844
 12/11  10:00:00,40.39527006
 12/11  11:00:00,39.4624513
 12/11  12:00:00,36.02750416
 12/11  13:00:00,30.37812559
 12/11  14:00:00,31.3496498
 12/11  15:00:00,28.00377422
 12/11  16:00:00,29.34559514
 12/11  17:00:00,31.31233354
 12/11  18:00:00,35.23202752
 12/11  19:00:00,35.67194241
 12/11  20:00:00,36.82093819
 12/11  21:00:00,37.35444373
 12/11  22:00:00,36.62854648
 12/11  23:00:00,35.37076551
 12/11  24:00:00,33.75801128
 12/12  01:00:00,33.56844388
 12/12  02:00:00,33.42249922
 12/12  03:00:00,33.47831934
 12/12  04:00:00,33.33251822
 12/12  05:00:00,33.44734879
 12/12  06:00:00,33.56266354
 12/12  07:00:00,33.71871999
 12/12  08:00:00,33.51227611
 12/12  09:00:00,32.84022662
 12/12  10:00:00,29.04840551
 12/12  11:00:00,29.19401633
 12/12  12:00:00,25.28713675
 12/12  13:00:00,24.12522735
 12/12  14:00:00,23.00447895
 12/12  15:00:00,22.3176765
 12/12  16:00:00,22.65523267
 12/12  17:00:00,24.27471161
 12/12  18:00:00,27.91008414
 12/12  19:00:00,27.88011335
 12/12  20:00:00,27.93804818
 12/12  21:00:00,28.27452514
 12/12  22:00:00,27.75693241
 12/12  23:00:00,27.26450239
 12/12  24:00:00,27.22041968
 12/13  01:00:00,28.08963617
 12/13  02:00:00,27.72774588
 12/13  03:00:00,27.46963933
 12/13  04:00:00,26.89386703
 12/13  05:00:00,27.14993612
 12/13  06:00:00,27.37841094
 12/13  07:00:00,27.98105944
 12/13  08:00:00,30.45570833
 12/13  09:00:00,26.82592826
 12/13  10:00:00,22.94518324
 12/13  11:00:00,20.91953344
 12/13  12:00:00,18.52384744
 12/13  13:00:00,18.27311824
 12/13  14:00:00,17.21803306
 12/13  15:00:00,17.28917383
 12/13  16:00:00,20.58508004
 12/13  17:00:00,21.17658328
 12/13  18:00:00,26.59814501
 12/13  19:00:00,29.0704381
 12/13  20:00:00,28.89043567
 12/13  21:00:00,28.49533568
 12/13  22:00:00,28.88639059
 12/13  23:00:00,27.56223293
 12/13  24:00:00,27.35176713
 12/14  01:00:00,29.11476081
 12/14  02:00:00,29.21180112
 12/14  03:00:00,29.9460524
 12/14  04:00:00,30.21453444
 12/14  05:00:00,32.09728879
 12/14  06:00:00,31.596264
 12/14  07:00:00,32.05937532
 12/14  08:00:00,35.60010768
 12/14  09:00:00,35.52026099
 12/14  10:00:00,34.85439689
 12/14  11:00:00,33.5318798
 12/14  12:00:00,28.84917748
 12/14  13:00:00,26.51945976
 12/14  14:00:00,26.28025291
 12/14  15:00:00,25.69710813
 12/14  16:00:00,25.40195222
 12/14  17:00:00,28.34807818
 12/14  18:00:00,31.51311808
 12/14  19:00:00,30.66266608
 12/14  20:00:00,31.63586485
 12/14  21:00:00,32.14286753
 12/14  22:00:00,32.93161203
 12/14  23:00:00,32.5686434
 12/14  24:00:00,31.82029751
 12/15  01:00:00,31.89652924
 12/15  02:00:00,31.50715691
 12/15  03:00:00,32.06446586
 12/15  04:00:00,31.44977635
 12/15  05:00:00,31.54794585
 12/15  06:00:00,31.4669352
 12/15  07:00:00,31.54714468
 12/15  08:00:00,31.94496071
 12/15  09:00:00,31.65151296
 12/15  10:00:00,29.50158633
 12/15  11:00:00,29.32306351
 12/15  12:00:00,24.81317265
 12/15  13:00:00,20.45733936
 12/15  14:00:00,17.39493551
 12/15  15:00:00,15.04823577
 12/15  16:00:00,14.57816693
 12/15  17:00:00,17.12192967
 12/15  18:00:00,20.99850383
 12/15  19:00:00,21.13570318
 12/15  20:00:00,22.93403174
 12/15  21:00:00,23.18150815
 12/15  22:00:00,22.75084111
 12/15  23:00:00,22.52195968
 12/15  24:00:00,22.46456463
 12/16  01:00:00,22.66057236
 12/16  02:00:00,23.79368531
 12/16  03:00:00,23.73575508
 12/16  04:00:00,23.87068316
 12/16  05:00:00,25.14770806
 12/16  06:00:00,26.36255436
 12/16  07:00:00,27.01957354
 12/16  08:00:00,30.38481718
 12/16  09:00:00,24.6704999
 12/16  10:00:00,21.42454647
 12/16  11:00:00,19.1733972
 12/16  12:00:00,16.13673286
 12/16  13:00:00,13.69202679
 12/16  14:00:00,11.96967383
 12/16  15:00:00,11.59193594
 12/16  16:00:00,13.16895884
 12/16  17:00:00,15.5431543
 12/16  18:00:00,19.38640824
 12/16  19:00:00,18.93154348
 12/16  20:00:00,21.03277034
 12/16  21:00:00,21.4210527
 12/16  22:00:00,20.41517424
 12/16  23:00:00,19.8018555
 12/16  24:00:00,21.07074032
 12/17  01:00:00,21.83360095
 12/17  02:00:00,21.37662957
 12/17  03:00:00,21.73918022
 12/17  04:00:00,22.58581378
 12/17  05:00:00,25.39547615
 12/17  06:00:00,25.85271188
 12/17  07:00:00,28.83316158
 12/17  08:00:00,29.81099004
 12/17  09:00:00,32.10332231
 12/17  10:00:00,31.58703383
 12/17  11:00:00,31.55825573
 12/17  12:00:00,32.30561165
 12/17  13:00:00,28.92426817
 12/17  14:00:00,29.41580847
 12/17  15:00:00,31.1694755
 12/17  16:00:00,32.62481029
 12/17  17:00:00,30.77140447
 12/17  18:00:00,35.90264108
 12/17  19:00:00,34.21772818
 12/17  20:00:00,33.97217427
 12/17  21:00:00,32.94425799
 12/17  22:00:00,32.83160266
 12/17  23:00:00,32.7634104
 12/17  24:00:00,34.8073646
 12/18  01:00:00,38.7925467
 12/18  02:00:00,37.67646706
 12/18  03:00:00,34.89571524
 12/18  04:00:00,35.28669
 12/18  05:00:00,37.09895711
 12/18  06:00:00,38.40845633
 12/18  07:00:00,39.23421548
 12/18  08:00:00,40.93124092
 12/18  09:00:00,37.49509693
 12/18  10:00:00,36.18991177
 12/18  11:00:00,36.53858994
 12/18  12:00:00,33.21102065
 12/18  13:00:00,31.77237699
 12/18  14:00:00,31.03096061
 12/18  15:00:00,30.69624201
 12/18  16:00:00,30.09124427
 12/18  17:00:00,33.36969688
 12/18  18:00:00,37.44188008
 12/18  19:00:00,37.07846921
 12/18  20:00:00,40.37465265
 12/18  21:00:00,41.02651741
 12/18  22:00:00,42.28265071
 12/18  23:00:00,42.09677545
 12/18  24:00:00,41.987535
 12/19  01:00:00,41.52782647
 12/19  02:00:00,42.16049142
 12/19  03:00:00,43.31573072
 12/19  04:00:00,43.70446437
 12/19  05:00:00,44.90875973
 12/19  06:00:00,45.12714383
 12/19  07:00:00,47.15514097
 12/19  08:00:00,46.23270972
 12/19  09:00:00,45.17873225
 12/19  10:00:00,41.2536306
 12/19  11:00:00,39.63370179
 12/19  12:00:00,33.8723466
 12/19  13:00:00,32.62031239
 12/19  14:00:00,30.33463302
 12/19  15:00:00,29.80355525
 12/19  16:00:00,30.21772652
 12/19  17:00:00,32.50669396
 12/19  18:00:00,37.5656799
 12/19  19:00:00,37.07412858
 12/19  20:00:00,38.65017332
 12/19  21:00:00,39.36746578
 12/19  22:00:00,39.66187765
 12/19  23:00:00,39.60395677
 12/19  24:00:00,38.9553251
 12/20  01:00:00,37.9678685
